D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,K_1,K_2,id
1.05057865160242e-06,5.71666650191362e-07,0,0,0,10,10,1,1,224
1.05057865160242e-06,6.00580778524112e-07,0,0,0,10,10,1,1,225
1.05057865160242e-06,6.30957344480193e-07,0,0,0,10,10,1,1,226
1.05057865160242e-06,6.62870316182644e-07,0,0,0,10,10,1,1,227
1.05057865160242e-06,6.96397402962431e-07,0,0,0,10,10,1,1,228
1.05057865160242e-06,7.31620244583698e-07,0,0,0,10,10,1,1,229
1.05057865160242e-06,7.68624610039775e-07,0,0,0,10,10,1,1,230
1.05057865160242e-06,8.07500606404022e-07,0,0,0,10,10,1,1,231
1.05057865160242e-06,8.48342898244073e-07,0,0,0,10,10,1,1,232
1.05057865160242e-06,8.91250938133746e-07,0,0,0,10,10,1,1,233
1.05057865160242e-06,9.36329208823942e-07,0,0,0,10,10,1,1,234
1.05057865160242e-06,9.83687477662216e-07,0,0,0,10,10,1,1,235
1.05057865160242e-06,1.03344106388056e-06,0,0,0,10,10,1,1,236
1.05057865160242e-06,1.0857111194022e-06,0,0,0,10,10,1,1,237
1.05057865160242e-06,1.14062492385132e-06,0,0,0,10,10,1,1,238
1.05057865160242e-06,1.19831619448383e-06,0,0,0,10,10,1,1,239
1.05057865160242e-06,1.25892541179417e-06,0,0,0,10,10,1,1,240
1.05057865160242e-06,1.32260016159074e-06,0,0,0,10,10,1,1,241
1.05057865160242e-06,1.38949549437314e-06,0,0,0,10,10,1,1,242
1.05057865160242e-06,1.45977430288617e-06,0,0,0,10,10,1,1,243
1.05057865160242e-06,1.53360771877001e-06,0,0,0,10,10,1,1,244
1.05057865160242e-06,1.61117552927246e-06,0,0,0,10,10,1,1,245
1.05057865160242e-06,1.69266661503788e-06,0,0,0,10,10,1,1,246
1.05057865160242e-06,1.77827941003892e-06,0,0,0,10,10,1,1,247
1.05057865160242e-06,1.86822238477104e-06,0,0,0,10,10,1,1,248
1.05057865160242e-06,1.96271455388621e-06,0,0,0,10,10,1,1,249
1.05057865160242e-06,2.06198600950222e-06,0,0,0,10,10,1,1,250
1.05057865160242e-06,2.16627848148589e-06,0,0,0,10,10,1,1,251
1.05057865160242e-06,2.27584592607479e-06,0,0,0,10,10,1,1,252
1.05057865160242e-06,2.39095514427051e-06,0,0,0,10,10,1,1,253
1.05057865160242e-06,2.51188643150958e-06,0,0,0,10,10,1,1,254
1.05057865160242e-06,2.63893426019374e-06,0,0,0,10,10,1,1,255
1.05057865160242e-06,2.77240799674178e-06,0,0,0,10,10,1,1,256
1.05057865160242e-06,2.91263265490874e-06,0,0,0,10,10,1,1,257
1.05057865160242e-06,3.0599496872072e-06,0,0,0,10,10,1,1,258
1.05057865160242e-06,3.21471781635738e-06,0,0,0,10,10,1,1,259
1.05057865160242e-06,3.37731390879101e-06,0,0,0,10,10,1,1,260
1.05057865160242e-06,3.54813389233575e-06,0,0,0,10,10,1,1,261
1.05057865160242e-06,3.72759372031494e-06,0,0,0,10,10,1,1,262
1.05057865160242e-06,3.91613038441012e-06,0,0,0,10,10,1,1,263
1.05057865160242e-06,4.11420297875284e-06,0,0,0,10,10,1,1,264
1.05057865160242e-06,4.32229381783682e-06,0,0,0,10,10,1,1,265
1.05057865160242e-06,4.54090961097247e-06,0,0,0,10,10,1,1,266
1.05057865160242e-06,4.77058269614393e-06,0,0,0,10,10,1,1,267
1.05057865160242e-06,5.01187233627272e-06,0,0,0,10,10,1,1,268
1.05057865160242e-06,5.26536608104486e-06,0,0,0,10,10,1,1,269
1.05057865160242e-06,5.53168119761723e-06,0,0,0,10,10,1,1,270
1.05057865160242e-06,5.81146617368716e-06,0,0,0,10,10,1,1,271
1.05057865160242e-06,6.10540229658533e-06,0,0,0,10,10,1,1,272
1.05057865160242e-06,6.41420531223692e-06,0,0,0,10,10,1,1,273
1.05057865160242e-06,6.73862716803095e-06,0,0,0,10,10,1,1,274
1.05057865160242e-06,7.07945784384137e-06,0,0,0,10,10,1,1,275
1.05057865160242e-06,7.43752727565905e-06,0,0,0,10,10,1,1,276
1.05057865160242e-06,7.81370737651809e-06,0,0,0,10,10,1,1,277
1.05057865160242e-06,8.20891415963826e-06,0,0,0,10,10,1,1,278
1.05057865160242e-06,8.62410996895275e-06,0,0,0,10,10,1,1,279
1.05057865160242e-06,9.06030582245338e-06,0,0,0,10,10,1,1,280
1.05057865160242e-06,9.51856387405862e-06,0,0,0,10,10,1,1,281
1.05057865160242e-06,1e-05,0,0,0,10,10,1,1,282
1.10371550320276e-06,1e-08,0,0,0,10,10,1,1,283
1.10371550320276e-06,1.05057865160242e-08,0,0,0,10,10,1,1,284
1.10371550320276e-06,1.10371550320276e-08,0,0,0,10,10,1,1,285
1.10371550320276e-06,1.15953994510744e-08,0,0,0,10,10,1,1,286
1.10371550320276e-06,1.21818791201011e-08,0,0,0,10,10,1,1,287
1.10371550320276e-06,1.27980221399795e-08,0,0,0,10,10,1,1,288
1.10371550320276e-06,1.34453288429976e-08,0,0,0,10,10,1,1,289
1.10371550320276e-06,1.41253754462276e-08,0,0,0,10,10,1,1,290
1.10371550320276e-06,1.48398178896757e-08,0,0,0,10,10,1,1,291
1.10371550320276e-06,1.55903958685609e-08,0,0,0,10,10,1,1,292
1.10371550320276e-06,1.63789370695406e-08,0,0,0,10,10,1,1,293
1.10371550320276e-06,1.72073616211989e-08,0,0,0,10,10,1,1,294
1.10371550320276e-06,1.80776867696343e-08,0,0,0,10,10,1,1,295
1.10371550320276e-06,1.89920317905333e-08,0,0,0,10,10,1,1,296
1.10371550320276e-06,1.99526231496888e-08,0,0,0,10,10,1,1,297
1.10371550320276e-06,2.09617999245313e-08,0,0,0,10,10,1,1,298
1.10371550320276e-06,2.20220194998737e-08,0,0,0,10,10,1,1,299
1.10371550320276e-06,2.31358635517395e-08,0,0,0,10,10,1,1,300
1.10371550320276e-06,2.43060443338441e-08,0,0,0,10,10,1,1,301
1.10371550320276e-06,2.55354112820386e-08,0,0,0,10,10,1,1,302
1.10371550320276e-06,2.68269579527973e-08,0,0,0,10,10,1,1,303
1.10371550320276e-06,2.81838293126446e-08,0,0,0,10,10,1,1,304
1.10371550320276e-06,2.96093293962708e-08,0,0,0,10,10,1,1,305
1.10371550320276e-06,3.11069293519861e-08,0,0,0,10,10,1,1,306
1.10371550320276e-06,3.26802758941013e-08,0,0,0,10,10,1,1,307
1.10371550320276e-06,3.43332001828199e-08,0,0,0,10,10,1,1,308
1.10371550320276e-06,3.60697271532629e-08,0,0,0,10,10,1,1,309
1.10371550320276e-06,3.78940853163421e-08,0,0,0,10,10,1,1,310
1.10371550320276e-06,3.98107170553497e-08,0,0,0,10,10,1,1,311
