D,supply,osm_coeff,no_saturation,fast_pseudo,only_P1P2,only_P1C,Keq_1,Keq_2,id
1e-06,1.04737089795945e-06,0,1,1,0,1,1,1,335
1e-06,1.08436596868961e-06,0,1,1,0,1,1,1,336
1e-06,1.12266777351081e-06,0,1,1,0,1,1,1,337
1e-06,1.16232246867985e-06,0,1,1,0,1,1,1,338
1e-06,1.20337784077759e-06,0,1,1,0,1,1,1,339
1e-06,1.24588336429501e-06,0,1,1,0,1,1,1,340
1e-06,1.28989026125331e-06,0,1,1,0,1,1,1,341
1e-06,1.3354515629299e-06,0,1,1,0,1,1,1,342
1e-06,1.38262217376466e-06,0,1,1,0,1,1,1,343
1e-06,1.43145893752348e-06,0,1,1,0,1,1,1,344
1e-06,1.48202070579886e-06,0,1,1,0,1,1,1,345
1e-06,1.53436840893001e-06,0,1,1,0,1,1,1,346
1e-06,1.58856512942805e-06,0,1,1,0,1,1,1,347
1e-06,1.64467617799466e-06,0,1,1,0,1,1,1,348
1e-06,1.7027691722259e-06,0,1,1,0,1,1,1,349
1e-06,1.76291411809595e-06,0,1,1,0,1,1,1,350
1e-06,1.82518349431904e-06,0,1,1,0,1,1,1,351
1e-06,1.88965233969121e-06,0,1,1,0,1,1,1,352
1e-06,1.95639834351706e-06,0,1,1,0,1,1,1,353
1e-06,2.02550193923067e-06,0,1,1,0,1,1,1,354
1e-06,2.09704640132323e-06,0,1,1,0,1,1,1,355
1e-06,2.1711179456945e-06,0,1,1,0,1,1,1,356
1e-06,2.24780583354873e-06,0,1,1,0,1,1,1,357
1e-06,2.32720247896041e-06,0,1,1,0,1,1,1,358
1e-06,2.40940356023953e-06,0,1,1,0,1,1,1,359
1e-06,2.49450813523032e-06,0,1,1,0,1,1,1,360
1e-06,2.58261876068267e-06,0,1,1,0,1,1,1,361
1e-06,2.67384161583994e-06,0,1,1,0,1,1,1,362
1e-06,2.76828663039207e-06,0,1,1,0,1,1,1,363
1e-06,2.86606761694825e-06,0,1,1,0,1,1,1,364
1e-06,2.96730240818887e-06,0,1,1,0,1,1,1,365
1e-06,3.07211299886176e-06,0,1,1,0,1,1,1,366
1e-06,3.18062569279412e-06,0,1,1,0,1,1,1,367
1e-06,3.29297125509715e-06,0,1,1,0,1,1,1,368
1e-06,3.40928506974681e-06,0,1,1,0,1,1,1,369
1e-06,3.52970730273065e-06,0,1,1,0,1,1,1,370
1e-06,3.65438307095726e-06,0,1,1,0,1,1,1,371
1e-06,3.78346261713193e-06,0,1,1,0,1,1,1,372
1e-06,3.91710149080926e-06,0,1,1,0,1,1,1,373
1e-06,4.05546073584083e-06,0,1,1,0,1,1,1,374
1e-06,4.19870708444391e-06,0,1,1,0,1,1,1,375
1e-06,4.34701315812503e-06,0,1,1,0,1,1,1,376
1e-06,4.5005576757005e-06,0,1,1,0,1,1,1,377
1e-06,4.65952566866469e-06,0,1,1,0,1,1,1,378
1e-06,4.82410870416537e-06,0,1,1,0,1,1,1,379
1e-06,4.99450511585514e-06,0,1,1,0,1,1,1,380
1e-06,5.17092024289675e-06,0,1,1,0,1,1,1,381
1e-06,5.35356667741072e-06,0,1,1,0,1,1,1,382
1e-06,5.54266452066311e-06,0,1,1,0,1,1,1,383
1e-06,5.73844164830239e-06,0,1,1,0,1,1,1,384
1e-06,5.94113398496504e-06,0,1,1,0,1,1,1,385
1e-06,6.1509857885805e-06,0,1,1,0,1,1,1,386
1e-06,6.36824994471859e-06,0,1,1,0,1,1,1,387
1e-06,6.59318827133354e-06,0,1,1,0,1,1,1,388
1e-06,6.82607183427238e-06,0,1,1,0,1,1,1,389
1e-06,7.06718127392749e-06,0,1,1,0,1,1,1,390
1e-06,7.31680714342721e-06,0,1,1,0,1,1,1,391
1e-06,7.57525025877192e-06,0,1,1,0,1,1,1,392
1e-06,7.84282206133768e-06,0,1,1,0,1,1,1,393
1e-06,8.11984499318401e-06,0,1,1,0,1,1,1,394
1e-06,8.40665288561832e-06,0,1,1,0,1,1,1,395
1e-06,8.70359136148517e-06,0,1,1,0,1,1,1,396
1e-06,9.01101825166502e-06,0,1,1,0,1,1,1,397
1e-06,9.3293040262847e-06,0,1,1,0,1,1,1,398
1e-06,9.65883224115871e-06,0,1,1,0,1,1,1,399
1e-06,1e-05,0,1,1,0,1,1,1,400
1e-06,1e-08,0,1,1,0,0,1,1,401
1e-06,1.03532184329566e-08,0,1,1,0,0,1,1,402
1e-06,1.07189131920513e-08,0,1,1,0,0,1,1,403
1e-06,1.10975249641207e-08,0,1,1,0,0,1,1,404
1e-06,1.14895100018731e-08,0,1,1,0,0,1,1,405
1e-06,1.18953406737032e-08,0,1,1,0,0,1,1,406
1e-06,1.23155060329283e-08,0,1,1,0,0,1,1,407
1e-06,1.27505124071301e-08,0,1,1,0,0,1,1,408
1e-06,1.32008840083142e-08,0,1,1,0,0,1,1,409
1e-06,1.36671635646201e-08,0,1,1,0,0,1,1,410
1e-06,1.41499129743458e-08,0,1,1,0,0,1,1,411
1e-06,1.46497139830728e-08,0,1,1,0,0,1,1,412
1e-06,1.51671688847092e-08,0,1,1,0,0,1,1,413
1e-06,1.57029012472938e-08,0,1,1,0,0,1,1,414
1e-06,1.62575566644379e-08,0,1,1,0,0,1,1,415
1e-06,1.68318035333096e-08,0,1,1,0,0,1,1,416
1e-06,1.74263338600965e-08,0,1,1,0,0,1,1,417
1e-06,1.80418640939207e-08,0,1,1,0,0,1,1,418
1e-06,1.86791359902078e-08,0,1,1,0,0,1,1,419
1e-06,1.93389175045523e-08,0,1,1,0,0,1,1,420
1e-06,2.00220037181558e-08,0,1,1,0,0,1,1,421
1e-06,2.07292177959537e-08,0,1,1,0,0,1,1,422
1e-06,2.14614119785841e-08,0,1,1,0,0,1,1,423
1e-06,2.22194686093952e-08,0,1,1,0,0,1,1,424
1e-06,2.30043011977292e-08,0,1,1,0,0,1,1,425
1e-06,2.38168555197616e-08,0,1,1,0,0,1,1,426
1e-06,2.4658110758226e-08,0,1,1,0,0,1,1,427
1e-06,2.55290806823952e-08,0,1,1,0,0,1,1,428
1e-06,2.6430814869741e-08,0,1,1,0,0,1,1,429
1e-06,2.73643999707467e-08,0,1,1,0,0,1,1,430
1e-06,2.83309610183932e-08,0,1,1,0,0,1,1,431
